"postcode","instals","estimated_dwellings","density","capacity","capunder10","cap10_100","capover100","countunder10","count10_100","countover100","pot_kw","pot_sqm","pot_gwh"
"0800","133","209","34.0","4060.0","405.0","3193.0","462.0","71","60","2","32376.0","207,209","48.4"
"0810","3925","10159","36.7","28440.0","20756.0","6175.0","1509.0","3730","193","2","198075.0","1,267,682","297.7"
"0812","2165","6486","31.9","14685.0","11573.0","2647.0","465.0","2071","92","2","101247.0","647,978","151.9"
"0820","1397","5635","20.9","25337.0","7332.0","8123.0","9882.0","1175","217","5","188975.0","1,209,440","286.2"
"0822","1180","9332","9.9","19756.0","6003.0","7419.0","6334.0","927","242","11","140603.0","899,862","214.0"
"0828","375","613","47.6","5085.0","1862.0","3223.0","0.0","292","83","0","58001.0","371,208","88.4"
"0829","42","346","6.1","1142.0","149.0","993.0","0.0","21","21","0","53328.0","341,300","80.8"
"0830","2375","6006","37.4","18759.0","12575.0","3488.0","2696.0","2244","125","6","123408.0","789,812","185.2"
"0832","2943","7878","36.0","19126.0","16567.0","2169.0","390.0","2835","107","1","86298.0","552,306","129.5"
"0834","297","822","33.2","2371.0","1930.0","441.0","0.0","273","24","0","20441.0","130,821","30.7"
"0835","576","1311","40.6","4264.0","3228.0","1036.0","0.0","532","44","0","41918.0","268,277","62.9"
"0836","1401","3085","41.9","10377.0","8507.0","1870.0","0.0","1292","109","0","79945.0","511,646","120.0"
"0837","70","260","24.2","13156.0","419.0","232.0","12505.0","63","6","1","8113.0","51,925","12.3"
"0838","145","396","32.6","1351.0","866.0","485.0","0.0","129","16","0","9796.0","62,696","14.7"
"0839","35","424","5.0","1244.0","128.0","639.0","477.0","21","12","2","4218.0","26,996","6.3"
"0840","133","445","29.2","870.0","825.0","45.0","0.0","130","3","0","6546.0","41,892","9.8"
"0841","91","328","23.2","999.0","529.0","470.0","0.0","76","15","0","9994.0","63,963","15.2"
"0845","85","283","24.0","25744.0","349.0","348.0","25047.0","68","15","2","7270.0","46,528","11.1"
"0846","54","265","18.5","359.0","255.0","104.0","0.0","49","5","0","0.0","0","0.0"
"0847","24","283","7.4","283.0","125.0","158.0","0.0","21","3","0","0.0","0","0.0"
"0850","934","3326","25.2","42234.0","4709.0","3494.0","34031.0","839","93","2","77527.0","496,170","123.1"
